                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2867,                 1.5896,                 1.0233,                 1.0991,                0.62551,                0.56137,                0.58355,                0.33899,                0.69302,                0.54173,                0.59453,                0.27527,                 1.4001,                 1.8124,                 1.2177,                  1.254,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.2545,                  1.584,                 1.0264,                 1.0829,                0.67361,                0.54337,                0.60169,                0.35307,                 0.6541,                  0.527,                0.57634,                0.25734,                 1.3873,                 1.8487,                 1.2051,                 1.2344,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.2021,                 1.5317,                0.96282,                 1.0608,                0.62057,                0.58087,                0.58289,                0.33856,                0.64174,                0.53943,                 0.5678,                0.27831,                 1.3967,                 1.8268,                 1.2696,                 1.2674,               0.001505,               0.001505,               0.001505
                     27,                 1.2277,                   1.55,                 1.0026,                 1.0756,                0.65129,                0.57162,                0.59676,                 0.3501,                0.66734,                0.54992,                0.58722,                0.28244,                 1.3653,                 1.7443,                 1.2127,                 1.2371,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.2122,                 1.4972,                0.96851,                 1.0677,                0.56059,                0.59902,                 0.5996,                0.34339,                0.60923,                0.52819,                  0.577,                0.27744,                 1.3889,                 1.7803,                 1.1868,                 1.2467,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.2184,                 1.5272,                0.95579,                 1.0635,                0.68697,                0.55155,                0.60624,                0.36383,                0.70128,                0.52639,                0.57992,                0.28582,                 1.3886,                 1.8071,                 1.2391,                 1.2395,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.2004,                 1.5251,                 0.9408,                 1.0615,                0.65789,                0.55319,                0.60711,                0.36466,                0.65432,                0.54664,                0.60338,                0.29844,                  1.359,                 1.7594,                 1.1723,                 1.2296,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.1998,                 1.5066,                0.95133,                 1.0579,                0.70597,                0.55483,                0.62848,                0.38097,                0.66349,                0.56472,                0.60733,                0.29178,                  1.319,                 1.7247,                 1.1619,                 1.2152,               0.001406,               0.001406,               0.001406
                     32,                  1.186,                 1.4842,                0.92954,                 1.0554,                0.61119,                0.61211,                0.60809,                0.36012,                0.67889,                0.56628,                0.60475,                0.29202,                 1.3283,                 1.7299,                 1.1886,                  1.207,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.1909,                  1.478,                0.91802,                 1.0454,                0.67631,                0.57107,                0.63133,                0.39071,                0.70116,                0.55974,                 0.6146,                0.30782,                  1.312,                 1.7042,                 1.1628,                 1.1852,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.1707,                  1.462,                0.90078,                 1.0413,                0.64112,                0.63011,                0.63243,                0.37086,                0.64471,                0.60884,                0.61255,                0.30062,                 1.3627,                 1.7536,                 1.1593,                 1.2396,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.1677,                 1.4687,                0.89712,                 1.0476,                0.73573,                0.55483,                 0.6185,                0.36079,                0.69544,                0.54564,                0.59629,                0.28827,                  1.354,                 1.7999,                 1.1635,                 1.2297,              0.0013268,              0.0013268,              0.0013268
