,0
722,2505
723,1810
724,1690
725,1683
726,2136
727,2124
728,2071
729,1976
730,1953
731,1773
732,1775
733,1778
734,2309
735,2388
736,2382
737,2517
738,2534
739,2593
740,2017
741,2017
742,1571
743,1581
744,1582
745,1807
746,1791
747,1793
748,1865
749,1884
750,1893
751,1718
752,1931
753,1929
754,1700
755,1699
756,1699
757,2543
758,2536
759,2554
760,1978
761,1996
762,2076
763,2093
764,1384
765,725
766,757
767,754
768,1097
769,1111
770,1115
771,956
772,914
773,857
774,855
775,857
776,863
777,860
778,863
779,624
780,619
781,619
782,635
783,636
784,638
785,574
786,577
787,578
788,457
789,500
790,498
791,417
792,419
793,549
794,551
795,551
796,845
797,801
798,805
799,462
800,470
801,220
802,219
803,221
804,645
805,643
806,647
807,377
808,376
809,376
810,285
811,287
812,322
813,312
814,326
815,161
816,160
817,160
818,315
819,314
820,314
821,118
822,117
823,117
824,619
825,619
826,564
827,627
828,649
829,235
830,236
831,236
832,260
833,127
834,126
835,999
836,858
837,855
838,795
839,782
840,782
841,367
842,364
843,366
844,286
845,290
846,291
847,586
848,465
849,464
850,379
851,382
852,382
853,266
854,266
855,111
856,87
857,86
858,86
859,260
860,323
861,322
862,320
863,108
864,105
865,105
866,786
867,791
868,790
869,139
870,135
871,135
872,93
873,93
874,523
875,523
876,523
877,476
878,337
879,337
880,589
881,514
882,514
883,159
884,116
885,116
886,65
887,65
888,29
889,140
890,134
891,285
892,288
893,285
894,73
895,73
896,76
897,470
898,338
899,338
900,275
901,265
902,98
903,97
904,97
905,125
906,129
907,128
908,258
909,222
910,226
911,69
912,68
913,68
914,211
915,212
916,212
917,343
918,344
919,344
920,276
921,278
922,276
923,276
924,265
925,266
926,266
927,266
928,266
929,169
930,200
931,201
932,211
933,209
934,363
935,351
936,348
937,348
938,350
939,510
940,511
941,0
942,1225
943,1210
944,105
945,1168
946,1181
947,1172
948,1170
949,197
950,197
951,197
952,110
953,112
954,1411
955,345
956,342
957,1562
958,1589
959,1704
960,1698
961,1714
962,205
963,205
964,205
965,87
966,87
967,87
968,389
969,391
970,392
971,773
972,733
973,533
974,530
975,51
976,51
977,51
978,51
979,0
980,0
981,0
982,510
983,486
984,474
985,474
986,473
987,474
988,475
989,475
990,29
991,29
992,10
993,287
994,288
995,288
996,413
997,408
998,129
999,128
1000,129
1001,190
1002,189
1003,208
1004,130
1005,130
1006,63
1007,64
1008,64
1009,64
1010,151
1011,150
1012,150
1013,306
1014,311
1015,159
1016,0
1017,0
1018,439
1019,439
1020,0
1021,0
1022,0
1023,0
1024,190
1025,187
1026,208
1027,208
1028,291
1029,57
1030,57
1031,58
1032,58
1033,58
1034,185
1035,35
1036,57
1037,167
1038,183
1039,183
1040,23
1041,22
1042,0
1043,0
1044,0
1045,0
1046,20
1047,20
1048,0
1049,0
1050,395
1051,414
1052,68
1053,68
1054,67
1055,612
1056,652
1057,653
1058,654
1059,154
1060,153
1061,350
1062,365
1063,372
1064,181
1065,188
1066,184
1067,177
1068,177
1069,177
1070,287
1071,73
1072,370
1073,371
1074,370
1075,254
1076,235
1077,234
1078,230
1079,228
1080,230
1081,35
1082,35
1083,35
1084,19
1085,19
1086,0
1087,102
1088,0
1089,0
1090,0
1091,0
1092,10
1093,10
1094,10
1095,336
1096,334
1097,334
1098,335
1099,0
1100,0
1101,0
1102,0
1103,0
1104,60
1105,59
1106,0
1107,0
1108,0
1109,106
1110,106
1111,106
1112,59
1113,57
1114,92
1115,101
1116,101
1117,2
1118,2
1119,2
1120,206
1121,184
1122,187
1123,13
1124,0
1125,0
1126,7
1127,7
1128,7
1129,142
1130,142
1131,142
1132,142
1133,26
1134,26
1135,385
1136,365
1137,35
1138,35
1139,35
1140,181
1141,182
1142,181
1143,25
1144,25
1145,25
1146,258
1147,258
1148,210
1149,209
1150,209
1151,370
1152,366
1153,366
1154,0
1155,0
1156,0
1157,96
1158,96
1159,96
1160,107
1161,106
1162,93
1163,17
1164,17
1165,17
1166,20
1167,20
1168,0
1169,0
1170,0
1171,0
1172,404
1173,395
1174,206
1175,209
1176,222
1177,224
1178,228
1179,0
1180,0
1181,0
1182,175
1183,176
1184,169
1185,0
1186,0
1187,0
1188,0
1189,694
1190,209
1191,209
1192,209
1193,209
1194,101
1195,101
1196,119
1197,0
1198,0
1199,10
1200,10
1201,10
1202,17
1203,17
1204,48
1205,48
1206,48
1207,48
1208,318
1209,321
1210,326
1211,158
1212,161
1213,463
1214,445
1215,445
1216,273
1217,274
1218,614
1219,581
1220,99
1221,99
1222,21
1223,23
1224,23
1225,381
1226,380
1227,379
1228,379
1229,262
1230,256
1231,325
1232,301
1233,807
1234,309
1235,309
1236,0
1237,0
1238,33
1239,33
1240,33
1241,151
1242,149
1243,149
1244,46
1245,40
1246,44
1247,71
1248,69
1249,202
1250,200
1251,201
1252,201
1253,33
1254,33
1255,49
1256,16
1257,17
1258,126
1259,126
1260,126
1261,126
1262,20
1263,20
1264,80
1265,87
1266,89
1267,353
1268,360
1269,133
1270,189
1271,191
1272,167
1273,166
1274,166
1275,468
1276,468
1277,466
1278,465
1279,325
1280,464
1281,329
1282,329
1283,145
1284,145
1285,145
1286,434
1287,420
1288,434
1289,10
1290,10
1291,10
1292,813
1293,807
1294,865
1295,60
1296,60
1297,369
1298,368
1299,369
1300,435
1301,436
1302,435
1303,133
1304,125
1305,125
1306,125
1307,359
1308,359
1309,417
1310,414
1311,413
1312,87
1313,86
1314,87
1315,310
1316,327
1317,583
1318,558
1319,558
1320,367
1321,392
1322,376
1323,376
1324,213
1325,213
1326,818
1327,818
1328,447
1329,441
1330,460
1331,823
1332,819
1333,817
1334,814
1335,814
1336,703
1337,719
1338,796
1339,797
1340,762
1341,1240
1342,1252
1343,1246
1344,868
1345,918
1346,578
1347,580
1348,333
1349,323
1350,319
1351,326
1352,508
1353,506
1354,868
1355,976
1356,1039
1357,1035
1358,1031
1359,1034
1360,17
1361,16
1362,16
1363,874
1364,888
1365,621
1366,624
1367,621
1368,1600
1369,1478
1370,1503
1371,621
1372,624
1373,620
1374,989
1375,964
1376,1015
1377,1034
1378,1026
1379,205
1380,205
1381,200
1382,298
1383,298
1384,0
1385,0
1386,0
1387,0
1388,499
1389,559
1390,438
1391,442
1392,443
1393,442
1394,413
1395,410
1396,409
1397,409
1398,364
1399,363
1400,420
1401,373
1402,373
1403,375
1404,607
1405,609
1406,613
1407,420
1408,420
1409,209
1410,207
1411,206
1412,474
1413,809
1414,810
1415,807
1416,603
1417,609
1418,310
1419,302
1420,310
1421,309
1422,309
1423,367
1424,339
1425,588
1426,587
1427,585
1428,1095
1429,1153
1430,1060
1431,598
1432,597
1433,1441
1434,1474
1435,731
1436,196
1437,272
1438,76
1439,76
1440,76
1441,710
1442,711
1443,710
1444,742
1445,753
1446,87
1447,87
1448,65
1449,533
1450,533
1451,531
1452,257
1453,177
1454,161
1455,72
1456,71
1457,72
1458,267
1459,268
1460,271
1461,271
1462,360
1463,360
1464,360
1465,360
1466,197
1467,196
1468,196
1469,196
1470,217
1471,218
1472,218
1473,341
1474,256
1475,134
1476,135
1477,666
1478,661
1479,663
1480,663
1481,663
1482,663
1483,7
1484,23
1485,84
1486,83
1487,0
1488,0
1489,21
1490,21
1491,21
1492,0
1493,0
1494,316
1495,321
1496,372
1497,372
1498,411
1499,411
1500,169
1501,0
1502,43
1503,34
1504,34
1505,34
1506,395
1507,395
1508,54
1509,54
1510,221
1511,221
1512,0
1513,0
1514,0
1515,0
1516,0
1517,489
1518,392
1519,391
1520,230
1521,230
1522,230
1523,230
1524,205
1525,307
1526,351
1527,259
1528,259
1529,399
1530,397
1531,397
1532,385
1533,386
1534,388
1535,391
1536,409
1537,409
1538,410
1539,97
1540,96
1541,101
1542,256
1543,250
1544,243
1545,243
1546,401
1547,395
1548,394
1549,394
1550,781
1551,763
1552,302
1553,304
1554,298
1555,299
1556,404
1557,407
1558,408
1559,408
1560,408
1561,408
1562,408
1563,111
1564,112
1565,111
1566,395
1567,382
1568,464
1569,654
1570,650
1571,650
1572,687
1573,687
1574,689
1575,333
1576,331
1577,331
1578,547
1579,542
1580,755
1581,348
1582,347
1583,594
1584,534
1585,587
1586,534
1587,537
1588,532
1589,537
1590,903
1591,864
